Force,Lenght,Angle,Angle2,Energy
347,0.2,2.80855555555556,2.16311111111111,26.8418971549235
291,0.5,2.63411111111111,2.33755555555556,26.2141805608238
407,0.4,2.63411111111111,2.56433333333333,5.86238365195931
320,0.8,2.68644444444444,2.18055555555556,83.3346022785947
398,0.5,2.669,2.16311111111111,66.0895191973923
260,0.9,2.94811111111111,2.28522222222222,76.3207282861676
417,0.7,2.73877777777778,2.355,62.3788949481035
453,0.6,2.826,2.09333333333333,122.726505979515
249,0.6,2.68644444444444,2.26777777777778,38.2897026645037
336,0.1,2.70388888888889,2.40733333333333,5.49024316388306
311,0.8,2.86088888888889,2.30266666666667,72.7985102341697
450,0.8,2.73877777777778,2.42477777777778,59.7812572925285
392,1,2.84344444444444,2.30266666666667,112.746998944928
259,0.6,2.87833333333333,2.16311111111111,63.288819324515
292,0.2,2.91322222222222,2.30266666666667,17.8572255384168
136,0.9,2.61666666666667,2.355,19.473765427733
102,0.7,2.65155555555556,2.28522222222222,16.2171957054802
236,0.7,2.77366666666667,2.16311111111111,61.9156971935846
466,0.8,2.84344444444444,2.49455555555556,58.9056369662455
306,0.2,2.669,2.198,18.5746998350701
387,0.5,2.87833333333333,2.33755555555556,52.5820645912777
176,0.9,2.91322222222222,2.23288888888889,56.9080497549496
236,0.4,2.80855555555556,2.28522222222222,27.3637303860308
241,0.8,2.669,2.49455555555556,17.8374137495318
330,1,2.77366666666667,2.14566666666667,128.485288356356
297,1,2.826,2.52944444444444,39.2625415761236
203,0.9,2.96555555555556,2.26777777777778,62.6002183770336
353,0.6,2.72133333333333,2.12822222222222,81.3268902545925
320,1,2.61666666666667,2.56433333333333,8.76786268852607
467,0.5,2.669,2.28522222222222,54.920906784512
388,0.5,2.70388888888889,2.54688888888889,15.0180888992397
430,0.6,2.91322222222222,2.198,99.8856439074562
445,1,2.65155555555556,2.12822222222222,157.223787248139
130,1,2.94811111111111,2.52944444444444,21.1802859141667
201,0.1,2.70388888888889,2.14566666666667,7.27622729630229
243,0.4,2.87833333333333,2.42477777777778,20.5718750061681
155,0.3,2.669,2.37244444444444,7.99278014406481
246,1,2.669,2.09333333333333,96.2624854363552
213,0.3,2.65155555555556,2.54688888888889,3.45065710929505
182,0.9,2.86088888888889,2.42477777777778,33.8998148893675
233,0.6,2.669,2.512,11.4808916514972
444,0.6,2.669,2.38988888888889,42.5879455210027
134,0.2,2.77366666666667,2.16311111111111,10.0444351379423
156,0.1,2.63411111111111,2.54688888888889,0.712244321587292
170,0.9,2.77366666666667,2.12822222222222,61.822988113526
197,0.5,2.87833333333333,2.28522222222222,30.5707685528797
218,0.8,2.72133333333333,2.23288888888889,52.0086180195345
255,0.1,2.86088888888889,2.25033333333333,8.4769080183816
456,0.4,2.87833333333333,2.25033333333333,61.4895923521597
415,0.1,2.93066666666667,2.23288888888889,15.067357196177
286,0.3,2.89577777777778,2.42477777777778,18.535993089522
101,0.3,2.89577777777778,2.21544444444444,11.1813707638503
441,0.9,2.63411111111111,2.11077777777778,142.824905697141
375,0.1,2.86088888888889,2.37244444444444,9.0884002593192
130,0.9,2.68644444444444,2.56433333333333,7.04742729344136
238,1,2.75622222222222,2.26777777777778,67.7712635112217
187,0.2,2.96555555555556,2.30266666666667,11.8289933623381
487,0.6,2.72133333333333,2.28522222222222,75.3289738315096
141,0.8,2.61666666666667,2.355,17.9464112765383
199,0.3,2.87833333333333,2.37244444444444,14.748501008439
406,0.2,2.70388888888889,2.14566666666667,29.3945102716291
285,0.6,2.826,2.52944444444444,22.6057057559499
143,0.4,2.63411111111111,2.47711111111111,4.96121877440046
467,0.3,2.93066666666667,2.40733333333333,32.9949823978857
368,0.9,2.79111111111111,2.16311111111111,126.162196052031
486,0.5,2.79111111111111,2.512,31.8184338053062
196,0.6,2.87833333333333,2.355,30.4919505615184
333,1,2.63411111111111,2.33755555555556,59.9953410773494
289,0.3,2.94811111111111,2.14566666666667,37.9412021500161
234,0.2,2.93066666666667,2.44222222222222,9.94920495063026
320,0.6,2.87833333333333,2.47711111111111,34.2355853584929
197,0.7,2.84344444444444,2.26777777777778,43.2972973321137
245,0.3,2.73877777777778,2.59922222222222,4.66531205780296
499,0.1,2.89577777777778,2.45966666666667,9.65959805963017
391,0.8,2.80855555555556,2.512,42.7867872338736
401,0.8,2.73877777777778,2.58177777777778,23.2925662791655
238,0.4,2.89577777777778,2.58177777777778,11.6701793657605
287,0.1,2.65155555555556,2.42477777777778,3.68546069365808
319,0.9,2.669,2.18055555555556,91.2177048233526
239,1,2.84344444444444,2.30266666666667,68.7411549689739
332,0.6,2.93066666666667,2.38988888888889,49.2643529736552
310,0.8,2.75622222222222,2.47711111111111,34.5768176718758
436,1,2.669,2.54688888888889,27.065402302305
381,1,2.84344444444444,2.37244444444444,90.441292972749
239,0.3,2.63411111111111,2.25033333333333,17.6050922889638
291,1,2.86088888888889,2.42477777777778,60.2249458657261
414,0.1,2.80855555555556,2.37244444444444,9.37918907462597
373,0.3,2.63411111111111,2.59922222222222,1.95641971258857
154,0.5,2.826,2.21544444444444,26.9265447149053
448,0.7,2.96555555555556,2.45966666666667,65.2868824748601
156,0.8,2.77366666666667,2.52944444444444,14.3095488516396
295,0.1,2.669,2.355,5.4318193928351
375,0.8,2.94811111111111,2.59922222222222,37.4559647898753
387,0.5,2.65155555555556,2.21544444444444,54.4505490901876
104,0.9,2.826,2.355,22.8712492272804
157,0.4,2.75622222222222,2.47711111111111,8.75574253949112
468,0.4,2.93066666666667,2.23288888888889,67.9664883644418
423,0.5,2.63411111111111,2.59922222222222,3.69779060958427
254,1,2.84344444444444,2.49455555555556,40.1342054437402
279,0.8,2.61666666666667,2.44222222222222,22.3453154865276
114,0.2,2.86088888888889,2.14566666666667,9.51067194996137
455,0.6,2.86088888888889,2.23288888888889,94.4831418737778
351,0.8,2.93066666666667,2.47711111111111,53.5207231732727
414,0.2,2.75622222222222,2.355,18.2489217258259
416,0.9,2.80855555555556,2.355,89.4037946816358
184,1,2.826,2.512,26.1915114333834
461,0.1,2.826,2.09333333333333,20.8156435822503
272,0.4,2.63411111111111,2.12822222222222,37.5324830409293
251,0.9,2.96555555555556,2.21544444444444,86.6616171485834
157,0.5,2.96555555555556,2.56433333333333,11.5068422329636
426,0.9,2.86088888888889,2.28522222222222,117.196525294379
201,0.3,2.73877777777778,2.52944444444444,6.12320533228476
470,0.1,2.89577777777778,2.09333333333333,22.1303800622311
450,0.8,2.89577777777778,2.38988888888889,86.1886419179089
419,0.1,2.63411111111111,2.59922222222222,0.732564664499208
229,0.3,2.73877777777778,2.37244444444444,13.8401516449077
445,0.2,2.72133333333333,2.45966666666667,12.1594415605512
439,1,2.94811111111111,2.21544444444444,167.00593954169
418,0.9,2.84344444444444,2.11077777777778,166.190868361956
152,0.9,2.70388888888889,2.45966666666667,17.6974198506746
340,0.3,2.94811111111111,2.25033333333333,35.9965975512723
341,0.6,2.75622222222222,2.16311111111111,75.3697850693355
363,0.3,2.84344444444444,2.30266666666667,31.3218065946496
147,0.9,2.72133333333333,2.09333333333333,54.759362892814
301,0.5,2.93066666666667,2.47711111111111,28.6854303332534
205,0.8,2.63411111111111,2.30266666666667,33.7362751938099
261,0.6,2.79111111111111,2.33755555555556,38.4300285626598
409,0.9,2.70388888888889,2.14566666666667,133.252699888999
273,0.9,2.68644444444444,2.47711111111111,27.262696982393
112,0.9,2.75622222222222,2.54688888888889,9.9131503187719
132,0.2,2.826,2.40733333333333,5.498733448827
494,1,2.80855555555556,2.33755555555556,124.116921343932
284,0.3,2.89577777777778,2.52944444444444,12.9098329739724
498,0.1,2.68644444444444,2.54688888888889,3.48009277384054
270,0.8,2.80855555555556,2.52944444444444,27.3538820989459
234,0.3,2.96555555555556,2.23288888888889,25.9583331820488
307,0.8,2.70388888888889,2.14566666666667,88.9075335309374
249,0.5,2.65155555555556,2.23288888888889,33.3095744218684
437,0.9,2.94811111111111,2.26777777777778,133.499676362312
204,0.5,2.79111111111111,2.512,13.3558857948199
494,0.9,2.70388888888889,2.198,141.758213940964
482,0.7,2.84344444444444,2.28522222222222,101.455601780495
263,0.7,2.91322222222222,2.52944444444444,28.6498479454705
486,0.5,2.86088888888889,2.21544444444444,87.4662702043597
100,0.1,2.77366666666667,2.25033333333333,3.04642389434926
202,0.9,2.63411111111111,2.59922222222222,3.17852639632355
217,0.9,2.84344444444444,2.49455555555556,30.8590957604822
282,1,2.87833333333333,2.38988888888889,66.2757762937091
112,1,2.73877777777778,2.49455555555556,13.6738305268619
411,0.3,2.73877777777778,2.58177777777778,8.95253560542739
389,0.9,2.94811111111111,2.21544444444444,133.186285725616
438,0.4,2.84344444444444,2.54688888888889,22.349841323816
152,0.6,2.826,2.355,22.2848069394014
338,0.8,2.93066666666667,2.18055555555556,109.55725643559
129,0.2,2.72133333333333,2.16311111111111,9.15126490132232
455,1,2.77366666666667,2.26777777777778,132.482028229729
271,0.1,2.87833333333333,2.512,4.26227476005538
444,0.8,2.89577777777778,2.47711111111111,64.8960172668058
257,0.1,2.94811111111111,2.09333333333333,12.3940965288833
435,0.6,2.73877777777778,2.47711111111111,34.6411163857406
267,0.6,2.75622222222222,2.38988888888889,31.4204737277503
408,0.7,2.84344444444444,2.26777777777778,89.6715599568649
193,0.8,2.79111111111111,2.14566666666667,61.0623447966418
368,0.1,2.79111111111111,2.45966666666667,5.99277894340517
446,0.3,2.79111111111111,2.28522222222222,38.002368101327
326,0.1,2.86088888888889,2.38988888888889,7.50889673187488
461,0.6,2.84344444444444,2.30266666666667,79.5556630310385
459,0.3,2.91322222222222,2.52944444444444,21.429028039605
189,0.6,2.89577777777778,2.47711111111111,20.7184919990309
145,0.1,2.94811111111111,2.355,3.9886472379963
102,0.9,2.86088888888889,2.512,14.008063444497
241,1,2.63411111111111,2.32011111111111,46.4729836146901
296,0.9,2.84344444444444,2.49455555555556,42.0935131110724
211,0.7,2.70388888888889,2.12822222222222,55.6421077863832
382,0.8,2.75622222222222,2.23288888888889,95.313777750917
491,0.2,2.826,2.512,13.9782957758601
150,0.5,2.63411111111111,2.09333333333333,28.1168244678061
353,0.6,2.61666666666667,2.47711111111111,16.5467558133214
429,0.8,2.89577777777778,2.355,90.4941882859363
198,0.3,2.87833333333333,2.52944444444444,8.73960814731333
472,0.1,2.89577777777778,2.38988888888889,11.3002886070147
436,0.2,2.80855555555556,2.21544444444444,30.0087132007468
144,0.1,2.79111111111111,2.42477777777778,2.66839703943851
465,0.6,2.70388888888889,2.58177777777778,16.2863187829083
124,0.1,2.86088888888889,2.21544444444444,4.46329938491383
287,0.9,2.77366666666667,2.32011111111111,65.0756111355526
181,0.3,2.70388888888889,2.09333333333333,22.08093943052
274,0.9,2.94811111111111,2.52944444444444,40.1773731264115
174,0.7,2.77366666666667,2.198,42.1662326711647
103,0.7,2.68644444444444,2.14566666666667,25.557280485641
467,0.4,2.80855555555556,2.26777777777778,56.6280070404256
127,0.4,2.79111111111111,2.25033333333333,15.7873465573023
192,0.2,2.63411111111111,2.25033333333333,9.42866867358733
462,0.3,2.94811111111111,2.25033333333333,48.9130237314348
320,0.3,2.94811111111111,2.25033333333333,33.8791506364916
229,0.4,2.669,2.32011111111111,19.1676554456745
205,0.3,2.70388888888889,2.30266666666667,14.6041059366004
304,0.1,2.70388888888889,2.09333333333333,12.3620729040112
212,0.7,2.96555555555556,2.33755555555556,43.1458811950234
121,0.1,2.94811111111111,2.512,2.09418738269136
140,1,2.86088888888889,2.49455555555556,22.8182221938483
470,0.1,2.93066666666667,2.18055555555556,19.0428663183164
257,0.9,2.80855555555556,2.18055555555556,86.1323580537992
458,0.7,2.72133333333333,2.355,66.2749206735828
285,0.6,2.72133333333333,2.25033333333333,48.6580882211146
318,0.4,2.87833333333333,2.52944444444444,18.715120477075
324,1,2.80855555555556,2.23288888888889,107.012409746504
130,0.3,2.96555555555556,2.18055555555556,16.0631385068418
316,0.2,2.96555555555556,2.58177777777778,8.67053504776892
194,0.8,2.61666666666667,2.16311111111111,47.6585143651067
497,0.8,2.84344444444444,2.52944444444444,54.6567217600099
120,0.4,2.75622222222222,2.58177777777778,3.80667927821223
134,0.8,2.77366666666667,2.28522222222222,29.7899718865775
392,1,2.72133333333333,2.30266666666667,95.9306209814654
163,0.7,2.79111111111111,2.512,14.9402604822446
273,0.1,2.79111111111111,2.26777777777778,8.11632936406757
138,1,2.63411111111111,2.42477777777778,16.5695300232426
405,0.1,2.93066666666667,2.14566666666667,17.5815152628796
357,1,2.80855555555556,2.54688888888889,41.6759395573615
114,1,2.86088888888889,2.37244444444444,27.6287367883303
337,0.3,2.80855555555556,2.40733333333333,20.4956583780917
472,0.5,2.72133333333333,2.56433333333333,17.7051222382051
421,0.3,2.70388888888889,2.56433333333333,8.55882934161642
367,0.2,2.826,2.28522222222222,21.6844733261201
380,0.9,2.63411111111111,2.47711111111111,29.6632311336531
175,0.4,2.70388888888889,2.512,6.82219349606748
